genepair	stat	globalCor	pval	nperm	globalCorMin	globalCorMax	fdr	sigCluster	startCor	branchpointCor	endCor
Ccne1_Malat1	0.212152409872723	0.129757151474396	3.07692307692308e-05	65000	0.0324937073103332	0.228021171283073	0.0242528735632184	4	-0.361122782024889	0.0337355507689821	0.160448577168226
Cdt1_Top2a	0.213390406022998	-0.107678406542206	3.17460317460317e-05	63000	-0.205524209407425	-0.0155206721437126	0.0242528735632184	3	-0.475230713854877	-0.197465989052012	0.017825794964148
Malat1_Mcm5	0.212720239071596	0.019635877395118	3.17460317460317e-05	63000	-0.0768072113534504	0.118310693314289	0.0242528735632184	4	-0.420285711345734	-0.0346896618082247	0.197386775677699
Malat1_Mcm6	0.209090854095777	0.129010297642543	4.61538461538462e-05	65000	0.0324937073103332	0.228021171283073	0.03245361328125	4	-0.330101650404006	0.210020136925371	0.187955978603587
Mfge8_Tax1bp3	0.209466231344028	0.189907949867679	4.6875e-05	64000	0.0934319974302716	0.289128020323188	0.03245361328125	1	-0.198108882926095	0.096502397870559	0.472523899120881
Rrm2_Tacc3	0.204782991215421	0.129952566742442	4.61538461538462e-05	65000	0.0324937073103332	0.228021171283073	0.03245361328125	1	-0.174719885441695	-0.0521550264889453	0.388954318144481
Apoa2_Ivns1abp	0.206016397150518	-0.109858187882062	6.34920634920635e-05	63000	-0.205524209407425	-0.0155206721437126	0.0390740740740741	2	0.165244689915462	-0.0272409590616392	-0.539821655008036
Apom_Gstm1	0.161755705954965	0.601175636627959	6.25e-05	16000	0.507367296954526	0.643455655752506	0.0390740740740741	6	0.231691010183279	0.547258494482297	0.692595440410873
Cul2_Slc16a7	0.203364765344836	0.112492053524701	6.25e-05	64000	0.0158947174623861	0.212309324347294	0.0390740740740741	4	-0.206742032812277	-0.158004877086688	0.264751934553185
Malat1_Slbp	0.205376748116037	-0.0613462592464462	6.25e-05	64000	-0.161249399707619	0.033877339285077	0.0390740740740741	3	-0.392133091456154	-0.0604531545216898	0.0803514945523443
Fastkd2_Foxn3	0.200742086577483	0.0126152393518998	7.8125e-05	64000	-0.083221991391127	0.11124517690029	0.0467799831081081	8	0.184646141764418	0.0256242229999229	-0.288555629567914
Fignl1_Id2	0.202523550475864	0.0605527601788209	9.23076923076923e-05	65000	-0.0381559795481844	0.158312693405459	0.0511269230769231	1	0.00828938840086106	-0.212609674331967	0.307200878279347
Gstm1_Mcm7	0.198456572776952	0.0287018383523489	9.23076923076923e-05	65000	-0.071026205788179	0.127294848422419	0.0511269230769231	4	-0.249189988175254	-0.0945170372723833	0.0938035121811816
Ivns1abp_Krt8	0.203747265945645	-0.0887390273266873	9.23076923076923e-05	65000	-0.188554707970787	0.0101668945333551	0.0511269230769231	2	0.223035487036892	0.0725781645747967	-0.470060963092893
Acss1_Psmf1	0.202030863343431	0.00185485486794274	0.000107692307692308	65000	-0.0973291715417416	0.0987481408163128	0.0532206588881263	2	0.13985449271761	0.116586744578644	-0.415600896315491
Apom_Cbx5	0.204100804790403	-0.0166140082003738	0.000107692307692308	65000	-0.114246373774635	0.0833267664851154	0.0532206588881263	1	-0.184657134403102	-0.264022091166292	0.257041861075828
Apom_Igf2r	0.203078467744965	-0.0507959550099634	0.000106060606060606	66000	-0.148088022386886	0.0491596613414534	0.0532206588881263	5	0.220229138202067	-0.188758935513444	0.0454207233977233
Bub3_Orc6	0.196554823601548	0.0107232803191382	0.000111111111111111	63000	-0.083221991391127	0.10989758897137	0.0532206588881263	1	-0.273227042535093	-0.124359220160964	0.224891104141361
