genepair	stat	globalCor	pval	nperm	globalCorMin	globalCorMax	fdr	sigCluster	startCor	branchpointCor	endCor
Eno1b_Exosc8	0.0478827605824681	-0.0256914537800486	0.77296875	64000	-0.125573568547824	0.0700259835165631	0.957129374162339	NA	0.0554898025151305	-0.102836329981919	-0.0832487303186332
F2r_Lig1	0.0478186276944901	-0.0631389204666926	0.77175	64000	-0.161249399707619	0.033877339285077	0.957129374162339	NA	-0.040594578607754	-0.166283294135376	0.042924705475604
F2r_Tmem168	0.04769109067854	0.0164131156508548	0.773234375	64000	-0.083221991391127	0.11124517690029	0.957129374162339	NA	-0.0837902231777443	0.00593677179386376	-0.00216998940641644
Golt1b_Impact	0.0479872698151069	0.0533084370276949	0.77208064516129	62000	-0.0447794263413421	0.152034845404614	0.957129374162339	NA	-0.0711048738743452	0.0201829826965726	-0.0798692884592417
Gtpbp4_Klhl13	0.0477087220443417	0.0217048763000151	0.772640625	64000	-0.0768072113534504	0.120106004832022	0.957129374162339	NA	-0.0267879984506698	-0.0092305303185816	0.0854509363890675
H2afz_Ppat	0.04780916065883	0.0171412407137993	0.771984126984127	63000	-0.0805893625539821	0.11124517690029	0.957129374162339	NA	0.211904476366191	0.0549887043328445	-0.0431934490155171
H2afz_Reep6	0.0477125174690184	0.0817242199379406	0.773375	64000	-0.0174638702612239	0.17682979188804	0.957129374162339	NA	0.037383226278004	0.0201334454370312	0.0101993880692914
H3f3b_Wdr43	0.0479040093975846	-0.0112849666998955	0.7725625	64000	-0.109647400888592	0.0846485581851611	0.957129374162339	NA	0.0454272096329807	0.0288871380098494	-0.0365004655820232
Hsdl1_Sbno1	0.0477681872660755	-0.0787274402260739	0.77196875	64000	-0.17293880180404	0.0181138998915498	0.957129374162339	NA	0.040421515391957	-0.0435251492195355	-0.164194406743269
Id2_Nampt	0.0476979962753145	0.0297047109214519	0.772328125	64000	-0.0701901252742616	0.127294848422419	0.957129374162339	NA	-0.0828655738589887	-0.0307479580577636	-0.134429913108487
Ipo5_Snhg5	0.0477119984171548	0.0206256751632848	0.772609375	64000	-0.0768072113534504	0.120106004832022	0.957129374162339	NA	0.106776127217831	0.0812838148849883	-0.0733289000989262
Kdm3a_Znrf3	0.0477543005136101	0.0380625123901408	0.773290322580645	62000	-0.0608849307971989	0.135789758614439	0.957129374162339	NA	-0.050762069037103	0.0196574087740066	-0.0119458164250669
Kif22_Top2a	0.0474902413183888	0.172826959250086	0.771968253968254	63000	0.0773208390064423	0.270288645666181	0.957129374162339	NA	0.167477153043355	0.155533263879748	0.13033502699731
Klhl13_Rpa2	0.0477190246593736	-0.0545837601784675	0.773190476190476	63000	-0.148088022386886	0.0449661839709301	0.957129374162339	NA	0.0367020224704966	-0.0732235193414494	-0.00688463547421391
Malat1_Poldip3	0.0476991173810814	-0.0775063598305365	0.772784615384615	65000	-0.17293880180404	0.0218008170690466	0.957129374162339	NA	-0.160458254445167	-0.0148125422043483	-0.0461813932535587
Mfge8_Tpx2	0.0477323271948932	0.0375333363252247	0.773548387096774	62000	-0.0608849307971989	0.135789758614439	0.957129374162339	NA	-0.0369882639300657	0.0948230406542131	-0.024890621816901
Mtf2_Nampt	0.0477339244489268	0.0340702809421348	0.773016129032258	62000	-0.0626701711844816	0.127294848422419	0.957129374162339	NA	0.0686937033248393	0.0893835217221055	0.078542098446454
Myc_Tubg1	0.0476979399949991	-0.0332698911010431	0.77359375	64000	-0.129965464856879	0.0642131743814471	0.957129374162339	NA	-0.0379199547437299	0.0788039011440862	-0.00355673389199627
Nampt_Ttc4	0.0479189703662482	0.0657736695418272	0.773177419354839	62000	-0.0295578844406688	0.158312693405459	0.957129374162339	NA	0.186519656952637	0.0954189408518016	0.137448367082213
Nop56_Pum2	0.0478942715235944	0.00446486783319805	0.773140625	64000	-0.0954836810582532	0.0987481408163128	0.957129374162339	NA	-0.0590304969293328	0.00559465877840012	0.0783738549863615
Nt5e_Rrm1	0.0477396519946015	0.106427466128315	0.771984126984127	63000	0.00907391184969209	0.198976737808897	0.957129374162339	NA	0.0432384778911224	0.150708166845698	0.1351949725301
Nt5e_Smc2	0.0477045301124132	0.0927176539142597	0.773318181818182	66000	-0.00523292404494763	0.189022927193501	0.957129374162339	NA	0.000204335797339555	0.129230888008853	-0.0541968930001529
Nubp2_Slc19a2	0.0478653546643563	-0.0414877568624153	0.77284375	64000	-0.139541519737119	0.0577614668654508	0.957129374162339	NA	-0.100846819859501	0.0621359152840921	-0.117605549263284
Nup98_Zwint	0.0478284417867953	-0.011445221354613	0.773609375	64000	-0.109647400888592	0.0846485581851611	0.957129374162339	NA	0.0717545535051393	0.0366776874446558	-0.00728211647670029
Pnrc2_Zbtb38	0.0477141737203784	0.015995075393896	0.773015625	64000	-0.083221991391127	0.11124517690029	0.957129374162339	NA	-0.039407818352004	0.0481264862999219	-0.0453312868651396
Prmt7_Stxbp2	0.0476277508560976	0.0294405646052417	0.773171875	64000	-0.0701901252742616	0.127294848422419	0.957129374162339	NA	0.00641715597966506	0.0961099778094638	0.059004176281664
Reep6_Spin1	0.047258229501246	-0.131080533352934	0.7722	65000	-0.229292430644365	-0.034437435487342	0.957129374162339	NA	-0.155374551440847	-0.0869887072387702	-0.224533846985095
Seh1l_Tspan12	0.0479453599975875	0.0018769406803349	0.772446153846154	65000	-0.0973291715417416	0.0987481408163128	0.957129374162339	NA	0.126519274988146	0.0819035197107145	0.126206825580599
Spint2_Tug1	0.0477627339476031	0.037173249239983	0.773111111111111	63000	-0.0626701711844816	0.135789758614439	0.957129374162339	NA	0.118861421156074	0.0272913028393965	0.0128785822846713
Top2a_Zbtb38	0.0479779673990596	-0.0423925684244971	0.771857142857143	63000	-0.141586842651131	0.0491596613414534	0.957129374162339	NA	-0.148189445982769	-0.0631873682976349	-0.00862693316336988
Wdr43_Xpo1	0.0478821419406839	-0.0131571368447537	0.773353846153846	65000	-0.111574167161683	0.0846485581851611	0.957129374162339	NA	0.00159678346009397	-0.00967317490836794	-0.0811697856554306
Zfp638_Zfp871	0.0478669238572137	-0.018126974692486	0.772546875	64000	-0.114246373774635	0.080898210554474	0.957129374162339	NA	0.0296612167833331	0.0295874009540545	0.0141755206517714
Akr1c12_Lpp	0.0476195322952333	0.023562558151944	0.773666666666667	63000	-0.0747219572906327	0.120106004832022	0.957146805896806	NA	0.0228614090738154	-0.00664869503876023	0.05566220243039
Ado_Clk1	0.0476493724922148	0.0902486367753159	0.773969696969697	66000	-0.00523292404494763	0.189022927193501	0.957208901959143	NA	0.216329470847744	0.074205600708843	0.103271202977392
Alg8_Nup98	0.0476388708545107	-0.0594760326530785	0.774031746031746	63000	-0.157363180159096	0.0399486407684308	0.957208901959143	NA	0.0803026264410607	-0.0421311883350374	-0.041309851898445
Dkc1_Xpo1	0.0475966146103107	0.113879572602426	0.7740625	64000	0.0158947174623861	0.212309324347294	0.957208901959143	NA	0.0755742999870193	0.112368250020843	0.0114821255616112
Dsp_Hbp1	0.0477857221296767	0.00528098277271296	0.773984126984127	63000	-0.0937406687442643	0.0987481408163128	0.957208901959143	NA	0.0628460175540833	0.0756824940814984	0.0864392462653585
Foxn3_Rfc2	0.0476702089726223	0.0808298328793079	0.77396875	64000	-0.0174638702612239	0.17682979188804	0.957208901959143	NA	0.0849100575444586	0.0701008404371851	-0.054127346991374
Gmnn_Mad2l1	0.0476291584496481	0.116503543801113	0.773984126984127	63000	0.0181138998915498	0.212309324347294	0.957208901959143	NA	0.102776527596273	0.0456199003010083	0.110206500482026
Kif22_Nup98	0.047660925158139	0.0857060268824975	0.773888888888889	63000	-0.00523292404494763	0.18524271954446	0.957208901959143	NA	0.107620470901238	0.128745327504626	0.0961368546458114
Klhl13_Ubc	0.0476610229415523	0.0822998645521298	0.77403125	64000	-0.0174638702612239	0.17682979188804	0.957208901959143	NA	0.0468626219411563	0.0181852412066695	0.0763269885824806
Cs_Rps4l	0.0474720858087036	-0.105563822520532	0.774142857142857	63000	-0.205524209407425	-0.0155206721437126	0.957254841770386	NA	-0.121486062285988	-0.0710576342296284	0.0144638329580723
Apom_Lpp	0.0476087504161703	-0.0514800851346227	0.774415384615385	65000	-0.148088022386886	0.0476136544740025	0.957324676160799	NA	0.11231027561735	-0.0783568874025342	-0.0431916291702761
Cse1l_Znrf3	0.0475429138448381	0.0281134723102219	0.774292307692308	65000	-0.071026205788179	0.127294848422419	0.957324676160799	NA	-0.0759920946141932	-0.0432066606248555	0.0772565545213553
Dsg2_Zbtb38	0.0477991343911666	-0.0127304389493373	0.7744	65000	-0.111574167161683	0.0846485581851611	0.957324676160799	NA	-0.0477734616562182	0.0791207753850822	-0.0334544790283913
Gtf2a1_Smc2	0.047772810539392	-0.00748514684945003	0.774269841269841	63000	-0.102807336447492	0.0888365582742111	0.957324676160799	NA	-0.0218686204450296	0.0155225358437788	-0.0645741643751451
Onecut2_Rrm2	0.0476700820558239	-0.0608460597673887	0.774396825396825	63000	-0.159998282607228	0.033877339285077	0.957324676160799	NA	-0.0644550072802624	-0.108735065345672	-0.0313826015084919
Dennd5b_Pid1	0.0476049760850764	0.0856991361090311	0.774492063492063	63000	-0.00523292404494763	0.18524271954446	0.957366047350704	NA	0.200063061514396	0.141846591120039	0.102590721720689
Ado_Nubp2	0.0476363929134639	-0.0608918215706652	0.77468253968254	63000	-0.159998282607228	0.033877339285077	0.957536021715284	NA	-0.243553330086668	-0.103483216469331	-0.0238032955640555
Bckdk_Exosc8	0.0475610345604033	0.0305225927259582	0.774825396825397	63000	-0.0667219459826967	0.127294848422419	0.957536021715284	NA	-0.0098852771619126	0.0731503435932505	-0.0319353406335825
Dsg2_Ndc1	0.0477247287547877	0.00644446336953168	0.774857142857143	63000	-0.0933510750136667	0.106193356516958	0.957536021715284	NA	-0.101457963826075	0.0565181604224896	-0.0776766578154557
Gmfb_Spc24	0.0476881678506424	-0.0392857130236679	0.774888888888889	63000	-0.137808048494083	0.0577614668654508	0.957536021715284	NA	0.0501380751002601	0.0652810810846823	-0.0175823427381018
Mfge8_Supt16	0.0477796325269273	0.000472283012193842	0.774738461538461	65000	-0.0973291715417416	0.0987481408163128	0.957536021715284	NA	0.0614897839089721	-0.00997960169114334	0.0930168067248755
Pid1_Sept11	0.0476885355390311	-0.0284207301322216	0.774815384615385	65000	-0.126625913336686	0.0700259835165631	0.957536021715284	NA	-0.0154652274450225	-0.0287032346832377	-0.0820930525650015
F2r_Vim	0.0477151139106221	-0.00193966438752862	0.7750625	64000	-0.0973291715417416	0.0977452682472098	0.957536925639882	NA	0.050897067693339	-0.0479104083209318	-0.136707618487998
Gm6166_Top2a	0.0475859868945717	0.0878462304465469	0.7750625	64000	-0.00523292404494763	0.186806041688826	0.957536925639882	NA	0.120453660028654	0.0967936664020809	0.124499599243722
Onecut2_Zbtb38	0.0475896369225583	-0.0845324751552279	0.774984126984127	63000	-0.181291302677755	0.0101668945333551	0.957536925639882	NA	-0.081473899255038	-0.145925187782014	-0.0973122842251167
Stxbp2_Ttc4	0.0475771096430546	-0.0580158954242084	0.774952380952381	63000	-0.157363180159096	0.0399486407684308	0.957536925639882	NA	-0.0144387319935715	-0.0250253018844295	0.0732497085420799
Exosc2_Ruvbl2	0.047744804615428	0.00325862910358811	0.775109375	64000	-0.0954836810582532	0.0987481408163128	0.957541441012881	NA	0.12456367185101	-0.0445135699761081	-0.0291183762810686
Abca1_Ipo5	0.0477208195361524	0.000734309090414369	0.775523076923077	65000	-0.0973291715417416	0.0987481408163128	0.957834170661687	NA	-0.0213483118516706	0.0217194341096091	0.103110260754986
Fam46a_Fignl1	0.0473145543091837	0.162058977246666	0.775545454545455	66000	0.0624471928225704	0.261461211482785	0.957834170661687	NA	0.0953242838919017	0.15803045743811	0.236887059566033
Foxn3_Rpa2	0.0476849840084792	0.0431827104486388	0.7755625	64000	-0.0546457771396647	0.143002454882219	0.957834170661687	NA	-0.0885083224384806	0.0305894761162136	0.0805647284381057
Kdm3a_Nmt2	0.0477621008088698	0.0497865450403923	0.77553125	64000	-0.0494049022022559	0.147225792271096	0.957834170661687	NA	0.0261414212440604	0.0861685061076427	0.0315434861429216
Nampt_Tubb4b	0.0478392689106542	0.0621139620851975	0.775390625	64000	-0.0373918104394158	0.158312693405459	0.957834170661687	NA	-0.035053597487413	-0.0135273475585581	-0.022468197095144
Ccdc50_Rogdi	0.0477218933097874	0.0685071863699794	0.775746031746032	63000	-0.0295578844406688	0.166220297674346	0.957935417348373	NA	0.0406636621181634	0.103751023452622	0.136073612545
Cdca4_Ube2c	0.0477084885441604	0.00160961400714025	0.775723076923077	65000	-0.0973291715417416	0.0987481408163128	0.957935417348373	NA	0.0665773663813832	-0.0270100230892291	0.0716835663630123
Cdv3_Orc5	0.0477364994267483	0.054816102924833	0.775774193548387	62000	-0.0447794263413421	0.152034845404614	0.957935417348373	NA	0.0875289694911733	0.138289149660138	0.107662632979004
Lig1_Nubp2	0.04764863430962	-0.00842723926284979	0.77603125	64000	-0.108248750561421	0.0888365582742111	0.958146028965114	NA	-0.0488590107059561	-0.033701086075997	-0.0556359540039314
Nmd3_Onecut2	0.0475153366268979	0.0758529275716102	0.776	64000	-0.0223372372804273	0.175678149286664	0.958146028965114	NA	-0.015479092620447	0.17310878470754	0.0368971815470745
Dut_Foxn3	0.0474897042418443	0.0329181082812609	0.77615873015873	63000	-0.0667219459826967	0.127294848422419	0.958196626917791	NA	0.0766483456025718	0.0223680012549528	-0.104645438201467
Slc19a2_Spc25	0.0474889804552489	-0.0761080628763643	0.776151515151515	66000	-0.17293880180404	0.0231584761284172	0.958196626917791	NA	-0.0662486602563468	-0.100534445634656	0.0261585169133142
Ezr_Psmf1	0.0475455181325322	0.0260778671536618	0.776222222222222	63000	-0.071026205788179	0.125702373005695	0.958221615497483	NA	0.105908615314944	0.041986034327432	-0.0683747257104297
Abca1_Slbp	0.047438575868689	-0.0744042749651839	0.776575757575758	66000	-0.17293880180404	0.0231584761284172	0.958253379271483	NA	-0.171003519866769	-0.0280780924563587	0.0498742374777832
Akr1c13_Spint2	0.0475766101003163	0.0450974620397891	0.776859375	64000	-0.0546457771396647	0.143002454882219	0.958253379271483	NA	0.0840907701306768	0.059763677566531	0.173513741776586
Apeh_Cbx5	0.0474942539433027	-0.0620911695268088	0.776546875	64000	-0.161249399707619	0.033877339285077	0.958253379271483	NA	-0.160574521784672	-0.141806635341893	-0.142399931168684
AW549877_Rps4l	0.0474069639799142	0.0247308092842395	0.776952380952381	63000	-0.0747219572906327	0.120106004832022	0.958253379271483	NA	0.1004525934261	0.0518438086552538	0.0193190407517538
Bag2_Mat2b	0.0474057090505	0.11241236791359	0.776890625	64000	0.0158947174623861	0.212309324347294	0.958253379271483	NA	0.128607738035556	0.15466490837365	0.276197018842326
Cdca4_Ddx39	0.0474276597959556	0.0306890314081455	0.776888888888889	63000	-0.0667219459826967	0.127294848422419	0.958253379271483	NA	0.132640043232936	0.0022034575992305	0.0782348473655313
Cdca4_Gm6166	0.0476287837566226	0.00169513027272268	0.776569230769231	65000	-0.0973291715417416	0.0987481408163128	0.958253379271483	NA	0.0227995731198275	0.00477813895994214	-0.147003169973144
Cdv3_Rogdi	0.0467291611235243	-0.149177471340566	0.776876923076923	65000	-0.247192186498961	-0.0494049022022559	0.958253379271483	NA	-0.0786481487709125	-0.143582103476296	-0.2303065562859
Cenpa_Sbno1	0.0473959008475501	0.108873514022371	0.776666666666667	63000	0.00907391184969209	0.198976737808897	0.958253379271483	NA	0.207698207208835	0.0671147961964973	0.140389071736769
Ddx39_Pid1	0.0475780341959687	0.00575344247140594	0.776666666666667	63000	-0.0937406687442643	0.0987481408163128	0.958253379271483	NA	-0.106991653451738	0.0254687952596416	0.125859827505257
Ddx3y_Exosc8	0.0477710745070665	0.0609128472640626	0.776523076923077	65000	-0.0381559795481844	0.158312693405459	0.958253379271483	NA	0.0882610540990414	-0.0131219639151784	0.109334936659369
Eno1b_Rangap1	0.0474432144984034	-0.0647236216774546	0.777109375	64000	-0.161249399707619	0.033877339285077	0.958253379271483	NA	0.0702845862803125	0.00218682105422951	0.00427638744723695
Golt1b_Vim	0.0475914802732722	-0.0145393553275043	0.777045454545455	66000	-0.114246373774635	0.0846485581851611	0.958253379271483	NA	-0.0320351941252353	-0.00990688983213205	-0.0211246295008541
Gpi1_Tmem168	0.0475985498892605	-0.0444458422309709	0.777079365079365	63000	-0.141586842651131	0.0491596613414534	0.958253379271483	NA	0.090075553742607	-0.0200564373360452	0.0871191535580003
Gstm1_Lig1	0.0472887690325297	0.146513038933577	0.77715625	64000	0.0465507084951929	0.244314316801013	0.958253379271483	NA	0.110552654637334	0.0281848909462495	0.158997305756455
Gyg_Nup98	0.0475336512957877	0.0741742291433072	0.776920634920635	63000	-0.0252956760219812	0.170167297378573	0.958253379271483	NA	0.0328629622719313	0.0503583608662837	0.215436608062474
Idh3a_Zkscan1	0.0476815376387205	0.0642734244776529	0.777047619047619	63000	-0.034437435487342	0.158312693405459	0.958253379271483	NA	-0.10770077599423	0.0433588088262805	0.0556874445470005
Ndc1_R3hdm1	0.0475248214817838	-0.0168414037247634	0.777125	64000	-0.114246373774635	0.080898210554474	0.958253379271483	NA	-0.0131861772571502	-0.00747840274113027	-0.14270367409577
Nmd3_Rrm1	0.0471546509793697	0.170954612418729	0.776730158730159	63000	0.0773208390064423	0.270288645666181	0.958253379271483	NA	0.0339845957829903	0.139730028977038	0.101005152397163
Rfc2_Tex30	0.0474294798106035	0.120997034847171	0.776359375	64000	0.0218008170690466	0.218657493574795	0.958253379271483	NA	0.0864695868079339	0.0378903334347499	0.0919891984844297
Tpp2_Xpo1	0.0474209840219662	0.0223550826168401	0.7768125	64000	-0.0768072113534504	0.120106004832022	0.958253379271483	NA	-0.10713383559262	0.00933122729975209	-0.0420926464384085
Fam107b_H3f3b	0.047532212155385	-0.0287196836887618	0.777246153846154	65000	-0.126625913336686	0.0700259835165631	0.958310898684486	NA	-0.0351569041403316	0.0158394775877384	0.0922618332047788
Gpx1_Vrk1	0.0474993682706979	-0.0195159072622038	0.777333333333333	63000	-0.114246373774635	0.0786104737636451	0.958365052865888	NA	-0.0901145424930943	0.037463178700658	0.0953978723525672
Ccnb1_Nup85	0.0474271542218791	0.0972839397979625	0.77753125	64000	-0.00141631897708411	0.196088973666998	0.958555719979411	NA	-0.0354682426208205	0.0715735560126652	0.122463551014437
2810474O19Rik_Psmf1	0.0475280987569874	-0.0249230441953008	0.777777777777778	63000	-0.123021155381288	0.0700259835165631	0.95860366373716	NA	-0.0611487636356361	0.0499079125016403	-0.0334230922095692
